job_title,company_name,location,duration,job_type,job_status,level,years_of_experience,skills_required
Social Media Strategist,ByGrit,"New Cairo, Cairo, Egypt",2 months ago,Full Time,Hybrid,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Communication · E-Marketing · Marketing · Social Media · social media strategist · social · SEO · media
Cost Accountant,Confidential,"10th of Ramadan City, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Logistics/Supply Chain · Analyst/Research · Accounting · Accounting Software · analytical · accountant · Cost · Cost Accountant · Cost Accounting
Market research specialist,forest-line,"New Cairo, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 1 - 3 ,Experienced · 1 - 3 Yrs of Exp · Business Development · Analyst/Research · Business Development · Marketing Research · Research Analysis · Business Analysis
Project Controls Engineer,BRISK Business Inc.,"Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 7+ ,Experienced · 7+ Yrs of Exp · Engineering - Construction/Civil/Architecture · Project/Program Management · Construction · Management · Planning · Project · Project Management · SAP · Engineering · Primavera
Internal Auditor,Venus International Free Zone,"Sheikh Zayed, Giza, Egypt",2 months ago,Full Time,On-site,Entry Level, 2 - 5 ,Entry Level · 2 - 5 Yrs of Exp · males_preferred · Accounting/Finance · Operations/Management · Analyst/Research · Auditing standards · auditor · Finance · Accounting · Internal auditor · Procedures · Financial Analysis
ERP Product Owner,Finiex Soft,"Fleming, Alexandria, Egypt",2 months ago,Full Time,Hybrid,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Analyst/Research · Product Owner · Software Development · Information Technology (IT) · Computer Science · Product
Project Manager,Fixed Solutions,"Cairo, Egypt",2 months ago,Full Time,Hybrid,Experienced, 5+ ,Experienced · 5+ Yrs of Exp · IT/Software Development · Project/Program Management · PMP · Project · Management · business · Project Management · Software · Information Technology (IT)
RPA Senior Developer,Xceed Contact Center,"Maadi, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Business Development · Engineering - Telecom/Technology · AWS · Computer Science · Python · Google Cloud
Research And Development Specialist,Confidential,"Cairo, Egypt",2 months ago,Full Time,Remote,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Business Development · Analyst/Research · AI · Analysis · learning · Machine Learning · LMS · Instructional Design · Design · Algorithms
Python Developer,Outservingplus,"Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 1 - 4 ,Experienced · 1 - 4 Yrs of Exp · IT/Software Development · Information Technology (IT) · MongoDB · HTML · JavaScript · PostgreSQL · Python · SQL
Cost Accountant,DC Auto,"Maadi, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · accountant · Accounting · Cost Accountant · Accounting Software · Cost Accounting · Financial Analysis · GAAP · Finance · excel
Credit Analysis Assistant Manager,A.T Lease Egypt,"Sheikh Zayed, Giza, Egypt",2 months ago,Full Time,On-site,Experienced, 5 - 7 ,Experienced · 5 - 7 Yrs of Exp · Accounting/Finance · Analyst/Research · Accounting · Finance · Financial Analysis · Analysis · Credit Analysis · Banks
Tax Accountant,DC Auto,"Maadi, Cairo, Egypt",2 months ago,Full Time,On-site,Experienced, 3 - 5 ,Experienced · 3 - 5 Yrs of Exp · Accounting/Finance · Accounting · accountant · Tax · CMA · CPA · excel · Finance · Financial Analysis · tax accountant
Financial Planning And Analysis Head,Easy Group For Health and Beauty Care,"Alexandria, Egypt",2 months ago,Full Time,On-site,Experienced, 4 - 6 ,Experienced · 4 - 6 Yrs of Exp · Accounting/Finance · Business Development · Analyst/Research · Accounting · Analysis · Computer Skills · English · excel · Finance · Financial
Senior ETL Developer,Master-Works,"Riyadh, Saudi Arabia",7 days ago,Full Time,Not specified,Not specified,"Riyadh, Saudi Arabia ",Not specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · Software Engineering · CSS · HTML
Senior Report Developer,El Seif Engineering Contracting Company,"Riyadh, Saudi Arabia",7 days ago,Full Time,Not specified,Not specified,"Doha, Qatar ",Not specified · Business Development · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · javaScript · Software Engineering · CSS · HTML
Technical Architect (SAP S/4HANA) (JO021233),MphExperts,"Doha, Qatar",5 days ago,Full Time,Not specified,Not specified,Cairo,Not specified · Engineering - Construction/Civil/Architecture · Creative/Design/Art · IT/Software Development · Architecture · Engineering · AutoCAD · Technical Office · Civil Engineering · Design · Information Technology (IT)
